title,price,price_numeric,beds,baths,area,area_sqft,price_per_sqft,property_type,featured,photo_count,description,description_length,city,listing_mode,scraped_date,url
1446 Square Feet Spacious Flat Is Available In Bahria Town Phase 8 For rent,PKR 1.48 Lakh,148000,2,2,"1,446 sqft",1446.0,102,Flat,True,23,23Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_8_1446_square_feet_spacious_flat_is_available_in_bahria_town_phase_8_for_rent-53281217-3048-4.html
Good 5 Marla Flat For Rent In Bahria Town Phase 8,PKR 1 Lakh,100000,2,2,"1,125 sqft",1125.0,88,Flat,False,16,16Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_8_good_5_marla_flat_for_rent_in_bahria_town_phase_8-50907140-3048-4.html
Luxury Furnished 3 Bedrooms Apartment Available For Rent In Bahria Heights 1 Ext,PKR 1.8 Lakh,180000,1,3,"2,000 sqft",2000.0,90,Flat,True,23,23Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_heights_1_luxury_furnished_3_bedrooms_apartment_available_for_rent_in_bahria_heights_1_ext-54459170-12199-4.html
1 Bed Luxury Furnished Apartment Available For Rent,PKR 50 Thousand,50000,50,1,600 sqft,600.0,83,Flat,False,7,7VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,88,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_8_1_bed_luxury_furnished_apartment_available_for_rent-54507562-3048-4.html
Flat Available For Rent In Gulraiz Housing Scheme Rawalpindi,PKR 33 Thousand,33000,3,3,"1,125 sqft",1125.0,29,Flat,False,8,8Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,80,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/rawalpindi_gulraiz_housing_scheme_flat_available_for_rent_in_gulraiz_housing_scheme_rawalpindi-54357696-438-4.html
"1 Bed Semi Furnished Flat For Rent in Phase 1, Bahria Town, Rawalpindi",PKR 32 Thousand,32000,32,1,735 sqft,735.0,43,Flat,False,10,10Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_1_1_bed_semi_furnished_flat_for_rent_in_phase_1_bahria_town_rawalpindi-54506252-3033-4.html
Bharia Town Phase 8 1 Bedroom Furnished Apartment Available For Rent,PKR 45 Thousand,45000,45,1,500 sqft,500.0,90,Flat,False,8,8Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,80,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_8_bharia_town_phase_8_1_bedroom_furnished_apartment_available_for_rent-53238126-3048-4.html
A Great Choice For A 1075 Square Feet Flat Available In River Hills,PKR 68 Thousand,68000,2,2,"1,075 sqft",1075.0,63,Flat,False,8,8Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,80,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_expressway_river_hills_a_great_choice_for_a_1075_square_feet_flat_available_in_river_hills-54483424-11347-4.html
Flat Sized 1200 Square Feet Is Available For rent In Bahria Town Phase 8 - Sector E-1,PKR 35 Thousand,35000,2,2,"1,200 sqft",1200.0,29,Flat,False,,Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,79,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_phase_8_bahria_town_phase_8_-_sector_e-1_flat_sized_1200_square_feet_is_available_for_rent_in_bahria_town_phase_8_-_sector_e-1-54513158-8360-4.html
1bed Semi furnished apartment for rent,PKR 35 Thousand,35000,35,1,450 sqft,450.0,77,Flat,False,,Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,79,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_phase_7_bahria_spring_north_1bed_semi_furnished_apartment_for_rent-54504711-8322-4.html
